"orderNumber","occurrenceID","family","scientificName","identificationQualifier","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","eventDate","year","basisOfRecord","lifeStage","organismQuantity","organismQuantityType","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","locality","municipality","stateProvince","island","islandGroup","country","countryCode","recordedBy","identifiedBy","identificationRemarks","occurrenceRemarks","kingdom","taxonID","language","license","rightsHolder","datasetID","institutionCode","datasetName","taxonRank","nomenclaturalCode"
187,"WL:SNAIL:GC:OCC:00186","Geomitridae","Monilearia spec.",,"Monilearia",,,,2020-02-02,2020,"HumanObservation","adult",5,"exact count",27.88153458,-15.72218418,25,"Barranco de Mogán eastern slope (E of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell somewhat smaller and more diamond shaped than M. cf. praeposita, very variable in shell height; possibly the species referred to by Mousson (1872) and Wollaston (1878) as M. persimilis and by Odhner (1931) as M. phalerata, but could also belong to M. praeposita (Mousson, 1872) (Theo ripken, personal comment)","empty shell","Animalia","checklist_snails_grancanaria:taxon:2e0980092d64f0feed6da6ab769d248c","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","genus","ICZN"
188,"WL:SNAIL:GC:OCC:00187","Enidae","Napaeus josei",,"Napaeus","josei",,"Santana, Alonso & Ibáñez, 2011",2020-02-02,2020,"HumanObservation","adult",2,"exact count",27.88145065,-15.72210503,25,"Barranco de Mogán eastern slope (E of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:d536631d09791dae87c57a497abb8d00","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
189,"WL:SNAIL:GC:OCC:00188","Enidae","Napaeus josei",,"Napaeus","josei",,"Santana, Alonso & Ibáñez, 2011",2020-02-02,2020,"HumanObservation","juvenile",1,"exact count",27.88145065,-15.72210503,25,"Barranco de Mogán eastern slope (E of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:d536631d09791dae87c57a497abb8d00","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
190,"WL:SNAIL:GC:OCC:00189","Helicidae","Hemicycla psathyra psathyra",,"Hemicycla","psathyra","psathyra","(R.T. Lowe, 1861)",2020-02-02,2020,"HumanObservation",,,"estimate count",27.8813209533691,-15.7219648361206,25,"Barranco de Mogán eastern slope (E of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ddd9f5376d38a6dab4b1a748155c64e9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","subspecies","ICZN"
191,"WL:SNAIL:GC:OCC:00190","Helicidae","Hemicycla saponacea",,"Hemicycla","saponacea",,"(R.T. Lowe, 1861)",2020-02-02,2020,"HumanObservation","adult",1,"exact count",27.88147736,-15.72189999,25,"Barranco de Mogán eastern slope (E of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:a026249ca3606690998637bf7c578f06","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
192,"WL:SNAIL:GC:OCC:00191","Helicidae","Hemicycla saponacea",,"Hemicycla","saponacea",,"(R.T. Lowe, 1861)",2020-02-02,2020,"HumanObservation","juvenile",2,"exact count",27.88147736,-15.72189999,25,"Barranco de Mogán eastern slope (E of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:a026249ca3606690998637bf7c578f06","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
193,"WL:SNAIL:GC:OCC:00192","Helicidae","Otala lactea",,"Otala","lactea",,"(O.F. Müller, 1774)",2020-02-02,2020,"HumanObservation","adult",1,"exact count",27.8815364837646,-15.7218370437622,25,"Barranco de Mogán eastern slope (E of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:385a77c6ebbb70834066e69625246546","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
194,"WL:SNAIL:GC:OCC:00193","Trissexodontidae","Caracollina lenticula",,"Caracollina","lenticula",,"(Michaud, 1831)",2020-02-03,2020,"HumanObservation",,,"estimate count",27.8841075897217,-15.7247552871704,25,"Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
195,"WL:SNAIL:GC:OCC:00194","Helicidae","Hemicycla psathyra psathyra",,"Hemicycla","psathyra","psathyra","(R.T. Lowe, 1861)",2020-02-03,2020,"HumanObservation",,,"estimate count",27.8841075897217,-15.7247552871704,25,"Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ddd9f5376d38a6dab4b1a748155c64e9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","subspecies","ICZN"
196,"WL:SNAIL:GC:OCC:00195","Geomitridae","Monilearia spec.",,"Monilearia",,,,2020-02-03,2020,"HumanObservation","adult",1,"exact count",27.88410759,-15.72475719,25,"Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell somewhat smaller and more diamond shaped than M. cf. praeposita, very variable in shell height; possibly the species referred to by Mousson (1872) and Wollaston (1878) as M. persimilis and by Odhner (1931) as M. phalerata, but could also belong to M. praeposita (Mousson, 1872) (Theo ripken, personal comment)","empty shell","Animalia","checklist_snails_grancanaria:taxon:2e0980092d64f0feed6da6ab769d248c","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","genus","ICZN"
197,"WL:SNAIL:GC:OCC:00196","Ferussaciidae","Ferussacia folliculum",,"Ferussacia","folliculum",,"(Schröter, 1784)",2020-02-03,2020,"HumanObservation","adult",2,"exact count",27.8841075897217,-15.7247562408447,25,"Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:03f5c123d00316b8c2af50ee740978ab","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
198,"WL:SNAIL:GC:OCC:00197","Helicidae","Hemicycla psathyra psathyra",,"Hemicycla","psathyra","psathyra","(R.T. Lowe, 1861)",2020-02-03,2020,"HumanObservation",,,"exact count",27.8852806091309,-15.7251644134521,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ddd9f5376d38a6dab4b1a748155c64e9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","subspecies","ICZN"
199,"WL:SNAIL:GC:OCC:00198","Trissexodontidae","Caracollina lenticula",,"Caracollina","lenticula",,"(Michaud, 1831)",2020-02-03,2020,"HumanObservation",,,"exact count",27.8852825164795,-15.7254838943481,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
200,"WL:SNAIL:GC:OCC:00199","Helicidae","Hemicycla psathyra psathyra",,"Hemicycla","psathyra","psathyra","(R.T. Lowe, 1861)",2020-02-03,2020,"HumanObservation",,,"exact count",27.8859806060791,-15.7267074584961,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ddd9f5376d38a6dab4b1a748155c64e9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","subspecies","ICZN"
201,"WL:SNAIL:GC:OCC:00200","Geomitridae","Monilearia spec.",,"Monilearia",,,,2020-02-03,2020,"HumanObservation",,,"exact count",27.88597488,-15.72673035,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell somewhat smaller and more diamond shaped than M. cf. praeposita, very variable in shell height; possibly the species referred to by Mousson (1872) and Wollaston (1878) as M. persimilis and by Odhner (1931) as M. phalerata, but could also belong to M. praeposita (Mousson, 1872) (Theo ripken, personal comment)","empty shell","Animalia","checklist_snails_grancanaria:taxon:2e0980092d64f0feed6da6ab769d248c","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","genus","ICZN"
202,"WL:SNAIL:GC:OCC:00201","Helicidae","Otala lactea",,"Otala","lactea",,"(O.F. Müller, 1774)",2020-02-03,2020,"HumanObservation","adult",3,"exact count",27.8860206604004,-15.7268142700195,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:385a77c6ebbb70834066e69625246546","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
203,"WL:SNAIL:GC:OCC:00202","Helicidae","Hemicycla psathyra psathyra",,"Hemicycla","psathyra","psathyra","(R.T. Lowe, 1861)",2020-02-03,2020,"HumanObservation",,,"exact count",27.8862724304199,-15.7268962860107,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ddd9f5376d38a6dab4b1a748155c64e9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","subspecies","ICZN"
204,"WL:SNAIL:GC:OCC:00203","Trissexodontidae","Caracollina lenticula",,"Caracollina","lenticula",,"(Michaud, 1831)",2020-02-03,2020,"HumanObservation",,,"exact count",27.8862705230713,-15.7268953323364,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
205,"WL:SNAIL:GC:OCC:00204","Helicidae","Hemicycla psathyra psathyra",,"Hemicycla","psathyra","psathyra","(R.T. Lowe, 1861)",2020-02-03,2020,"HumanObservation","adult",7,"exact count",27.8880653381348,-15.7282676696777,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ddd9f5376d38a6dab4b1a748155c64e9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","subspecies","ICZN"
206,"WL:SNAIL:GC:OCC:00205","Helicidae","Hemicycla psathyra psathyra",,"Hemicycla","psathyra","psathyra","(R.T. Lowe, 1861)",2020-02-03,2020,"HumanObservation","juvenile",1,"exact count",27.8880653381348,-15.7282676696777,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ddd9f5376d38a6dab4b1a748155c64e9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","subspecies","ICZN"
207,"WL:SNAIL:GC:OCC:00206","Geomitridae","Monilearia spec.",,"Monilearia",,,,2020-02-03,2020,"HumanObservation",,,"estimate count",27.88805008,-15.72824383,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell somewhat smaller and more diamond shaped than M. cf. praeposita, very variable in shell height; possibly the species referred to by Mousson (1872) and Wollaston (1878) as M. persimilis and by Odhner (1931) as M. phalerata, but could also belong to M. praeposita (Mousson, 1872) (Theo ripken, personal comment)","empty shell","Animalia","checklist_snails_grancanaria:taxon:2e0980092d64f0feed6da6ab769d248c","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","genus","ICZN"
208,"WL:SNAIL:GC:OCC:00207","Trissexodontidae","Caracollina lenticula",,"Caracollina","lenticula",,"(Michaud, 1831)",2020-02-03,2020,"HumanObservation",,,"estimate count",27.8886775970459,-15.7285137176514,25,"Barranco de Mogán western slope (W of Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
209,"WL:SNAIL:GC:OCC:00208","Geomitridae","Monilearia spec.",,"Monilearia",,,,2020-02-03,2020,"HumanObservation",,,"estimate count",27.88955688,-15.72931767,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell somewhat smaller and more diamond shaped than M. cf. praeposita, very variable in shell height; possibly the species referred to by Mousson (1872) and Wollaston (1878) as M. persimilis and by Odhner (1931) as M. phalerata, but could also belong to M. praeposita (Mousson, 1872) (Theo ripken, personal comment)","empty shell","Animalia","checklist_snails_grancanaria:taxon:2e0980092d64f0feed6da6ab769d248c","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","genus","ICZN"
210,"WL:SNAIL:GC:OCC:00209","Trissexodontidae","Caracollina lenticula",,"Caracollina","lenticula",,"(Michaud, 1831)",2020-02-03,2020,"HumanObservation","adult",3,"exact count",27.8895816802979,-15.7292776107788,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
211,"WL:SNAIL:GC:OCC:00210","Geomitridae","Xerotricha aff. orbignii","aff.","Xerotricha","aff. orbignii",,,2020-02-03,2020,"HumanObservation",,,"estimate count",27.8893642425537,-15.7296104431152,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","same species as on Tenerife?","empty shell","Animalia","checklist_snails_grancanaria:taxon:bae53a0a05e4213ab11b430ec853d924","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
212,"WL:SNAIL:GC:OCC:00211","Helicidae","Hemicycla saponacea",,"Hemicycla","saponacea",,"(R.T. Lowe, 1861)",2020-02-03,2020,"HumanObservation","adult",1,"exact count",27.8893642425537,-15.7296104431152,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:a026249ca3606690998637bf7c578f06","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
213,"WL:SNAIL:GC:OCC:00212","Helicidae","Hemicycla saponacea",,"Hemicycla","saponacea",,"(R.T. Lowe, 1861)",2020-02-03,2020,"HumanObservation","juvenile",1,"exact count",27.8893642425537,-15.7296104431152,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:a026249ca3606690998637bf7c578f06","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
214,"WL:SNAIL:GC:OCC:00213","Enidae","Napaeus josei",,"Napaeus","josei",,"Santana, Alonso & Ibáñez, 2011",2020-02-03,2020,"HumanObservation",,,"estimate count",27.88934517,-15.72954178,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:d536631d09791dae87c57a497abb8d00","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
215,"WL:SNAIL:GC:OCC:00214","Helicidae","Hemicycla psathyra psathyra",,"Hemicycla","psathyra","psathyra","(R.T. Lowe, 1861)",2020-02-03,2020,"HumanObservation",,,"estimate count",27.8893642425537,-15.7295227050781,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ddd9f5376d38a6dab4b1a748155c64e9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","subspecies","ICZN"
216,"WL:SNAIL:GC:OCC:00215","Geomitridae","Monilearia spec.",,"Monilearia",,,,2020-02-03,2020,"HumanObservation","adult",1,"exact count",27.88909149,-15.72960281,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell somewhat smaller and more diamond shaped than M. cf. praeposita, very variable in shell height; possibly the species referred to by Mousson (1872) and Wollaston (1878) as M. persimilis and by Odhner (1931) as M. phalerata, but could also belong to M. praeposita (Mousson, 1872) (Theo ripken, personal comment)","alive","Animalia","checklist_snails_grancanaria:taxon:2e0980092d64f0feed6da6ab769d248c","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","genus","ICZN"
217,"WL:SNAIL:GC:OCC:00216","Geomitridae","Monilearia spec.",,"Monilearia",,,,2020-02-03,2020,"HumanObservation","juvenile",1,"exact count",27.88909149,-15.72960281,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell somewhat smaller and more diamond shaped than M. cf. praeposita, very variable in shell height; possibly the species referred to by Mousson (1872) and Wollaston (1878) as M. persimilis and by Odhner (1931) as M. phalerata, but could also belong to M. praeposita (Mousson, 1872) (Theo ripken, personal comment)","alive","Animalia","checklist_snails_grancanaria:taxon:2e0980092d64f0feed6da6ab769d248c","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","genus","ICZN"
218,"WL:SNAIL:GC:OCC:00217","Geomitridae","Monilearia spec.",,"Monilearia",,,,2020-02-04,2020,"HumanObservation",,,"estimate count",27.8892498016357,-15.730094909668,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell somewhat smaller and more diamond shaped than M. cf. praeposita, very variable in shell height; possibly the species referred to by Mousson (1872) and Wollaston (1878) as M. persimilis and by Odhner (1931) as M. phalerata, but could also belong to M. praeposita (Mousson, 1872) (Theo ripken, personal comment)","empty shell","Animalia","checklist_snails_grancanaria:taxon:2e0980092d64f0feed6da6ab769d248c","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","genus","ICZN"
219,"WL:SNAIL:GC:OCC:00218","Helicidae","Hemicycla psathyra psathyra",,"Hemicycla","psathyra","psathyra","(R.T. Lowe, 1861)",2020-02-04,2020,"HumanObservation",,,"estimate count",27.8892517089844,-15.7300939559937,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:ddd9f5376d38a6dab4b1a748155c64e9","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","subspecies","ICZN"
220,"WL:SNAIL:GC:OCC:00219","Geomitridae","Xerotricha aff. orbignii","aff.","Xerotricha","aff. orbignii",,,2020-02-04,2020,"HumanObservation",,,"estimate count",27.8892498016357,-15.730094909668,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","same species as on Tenerife?","empty shell","Animalia","checklist_snails_grancanaria:taxon:bae53a0a05e4213ab11b430ec853d924","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
221,"WL:SNAIL:GC:OCC:00220","Enidae","Napaeus josei",,"Napaeus","josei",,"Santana, Alonso & Ibáñez, 2011",2020-02-04,2020,"HumanObservation",,,"estimate count",27.8892974853516,-15.7301454544067,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:d536631d09791dae87c57a497abb8d00","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
222,"WL:SNAIL:GC:OCC:00221","Trissexodontidae","Caracollina lenticula",,"Caracollina","lenticula",,"(Michaud, 1831)",2020-02-04,2020,"HumanObservation",,,"estimate count",27.8892993927002,-15.7301454544067,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:fdc20a7b515d2326fac0b766ba4cc5b8","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
223,"WL:SNAIL:GC:OCC:00222","Helicidae","Hemicycla saponacea",,"Hemicycla","saponacea",,"(R.T. Lowe, 1861)",2020-02-04,2020,"HumanObservation","adult",1,"exact count",27.8891983032227,-15.7314529418945,25,"Cruz de Mogán","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:a026249ca3606690998637bf7c578f06","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
224,"WL:SNAIL:GC:OCC:00223","Helicidae","Hemicycla saponacea",,"Hemicycla","saponacea",,"(R.T. Lowe, 1861)",2020-02-04,2020,"HumanObservation","adult",1,"exact count",27.8894863128662,-15.7330684661865,25,"Barranco de Veneguera southeastern slope (SW of Cruz de Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","checklist_snails_grancanaria:taxon:a026249ca3606690998637bf7c578f06","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
225,"WL:SNAIL:GC:OCC:00224","Geomitridae","Monilearia spec.",,"Monilearia",,,,2020-02-04,2020,"HumanObservation",,,"estimate count",27.8893508911133,-15.7327127456665,25,"Barranco de Veneguera southeastern slope (SW of Cruz de Mogán)","Mogán","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell somewhat smaller and more diamond shaped than M. cf. praeposita, very variable in shell height; possibly the species referred to by Mousson (1872) and Wollaston (1878) as M. persimilis and by Odhner (1931) as M. phalerata, but could also belong to M. praeposita (Mousson, 1872) (Theo ripken, personal comment)","empty shell","Animalia","checklist_snails_grancanaria:taxon:2e0980092d64f0feed6da6ab769d248c","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","genus","ICZN"
