id,day,month,year,eventDate,x,y,kingdom,vernacularName,kind_nl,action_en,action_amount,materials_en,municipality
18697,8,1,2020,2020-1-8,114251.30259170389,165771.75992567092,Animal,Muskrat,Muskusrat,Catch,4,,LIERDE (BE)
18721,9,1,2020,2020-1-9,84160.89315609123,215560.35977718793,Animal,Muskrat,Muskusrat,Catch,1,,MALDEGEM (BE)
18736,9,1,2020,2020-1-9,101248.95742999512,215088.96224022843,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
18733,9,1,2020,2020-1-9,101462.30629071963,215173.1895326944,Animal,Muskrat,Muskusrat,Catch,2,,ASSENEDE (BE)
18809,14,1,2020,2020-1-14,104632.03542987314,213725.1527507743,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
18795,14,1,2020,2020-1-14,101202.81973803372,215069.8362148963,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
18830,16,1,2020,2020-1-16,107011.96506861623,164783.38503671717,Animal,Muskrat,Muskusrat,Catch,1,,BRAKEL (BE)
19292,22,1,2020,2020-1-22,100448.09373047977,175337.25083657075,Animal,Muskrat,Muskusrat,Catch,1,,OUDENAARDE (BE)
18948,23,1,2020,2020-1-23,103076.84824970421,210438.72130065504,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
18966,24,1,2020,2020-1-24,117855.10024243784,167292.35472244862,Animal,Muskrat,Muskusrat,Catch,2,,GERAARDSBERGEN (BE)
18965,24,1,2020,2020-1-24,107684.2273094459,172407.3887316063,Animal,Muskrat,Muskusrat,Catch,0,,ZOTTEGEM (BE)
19085,28,1,2020,2020-1-28,84146.4630771543,215904.5403327085,Animal,Muskrat,Muskusrat,Catch,1,,
19104,28,1,2020,2020-1-28,104404.12010298077,216971.8382121995,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
19120,30,1,2020,2020-1-30,101356.09111891742,215159.1192814391,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
19117,30,1,2020,2020-1-30,96651.23340683687,160641.32285035495,Animal,Muskrat,Muskusrat,Catch,1,,RONSE (BE)
19190,4,2,2020,2020-2-4,107446.94108910738,170428.99257992674,Animal,Muskrat,Muskusrat,Catch,1,,BRAKEL (BE)
19209,4,2,2020,2020-2-4,83915.15436289155,216668.39028928615,Animal,Muskrat,Muskusrat,Catch,1,,MALDEGEM (BE)
19229,6,2,2020,2020-2-6,102977.50350079752,218477.77611885313,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
19253,7,2,2020,2020-2-7,117857.21471492037,167257.9235184025,Animal,Muskrat,Muskusrat,Catch,1,,GERAARDSBERGEN (BE)
19494,24,2,2020,2020-2-24,94617.65184244735,169865.53844098188,Animal,Muskrat,Muskusrat,Catch,2,,WORTEGEM-PETEGEM (BE)
19627,5,3,2020,2020-3-5,108864.5654741495,161734.87790513504,Animal,Muskrat,Muskusrat,Catch,2,,BRAKEL (BE)
19720,10,3,2020,2020-3-10,113755.27615150687,159802.656931106,Animal,Muskrat,Muskusrat,Catch,1,,GERAARDSBERGEN (BE)
19747,12,3,2020,2020-3-12,107074.33907976738,164756.7762397565,Animal,Muskrat,Muskusrat,Catch,1,,BRAKEL (BE)
19826,18,3,2020,2020-3-18,106543.32436726817,173870.72402397636,Animal,Muskrat,Muskusrat,Catch,1,,ZWALM (BE)
19840,19,3,2020,2020-3-19,92808.59399938145,158128.1441663811,Animal,Muskrat,Muskusrat,Catch,1,,
19883,24,3,2020,2020-3-24,104471.58193734573,217228.71436328907,Animal,Muskrat,Muskusrat,Catch,2,,ASSENEDE (BE)
19885,24,3,2020,2020-3-24,117366.50304901993,167084.41537369322,Animal,Muskrat,Muskusrat,Catch,2,,GERAARDSBERGEN (BE)
19900,27,3,2020,2020-3-27,105318.47724646574,214205.1361522954,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
19893,27,3,2020,2020-3-27,89564.89646041348,186661.25677065738,Animal,Muskrat,Muskusrat,Catch,1,,DEINZE (BE)
19899,27,3,2020,2020-3-27,104676.81296806881,213986.2880808264,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
19911,30,3,2020,2020-3-30,96966.92266549318,157525.9555438431,Animal,Muskrat,Muskusrat,Catch,2,,
19965,3,4,2020,2020-4-3,115698.71634918879,166239.7490415331,Animal,Muskrat,Muskusrat,Catch,1,,GERAARDSBERGEN (BE)
19969,3,4,2020,2020-4-3,115963.30167940978,167205.3286769148,Animal,Muskrat,Muskusrat,Catch,2,,GERAARDSBERGEN (BE)
19980,7,4,2020,2020-4-7,115829.7952838112,166334.54970246367,Animal,Muskrat,Muskusrat,Catch,0,,GERAARDSBERGEN (BE)
19983,7,4,2020,2020-4-7,108533.05068302355,166953.4701356087,Animal,Muskrat,Muskusrat,Catch,2,,BRAKEL (BE)
19985,7,4,2020,2020-4-7,107938.15719755634,166294.024006729,Animal,Muskrat,Muskusrat,Catch,1,,BRAKEL (BE)
20113,14,4,2020,2020-4-14,91912.08626645837,171393.08853052836,Animal,Muskrat,Muskusrat,Catch,1,,WORTEGEM-PETEGEM (BE)
20112,14,4,2020,2020-4-14,92432.29373304744,171446.7238057172,Animal,Muskrat,Muskusrat,Catch,2,,WORTEGEM-PETEGEM (BE)
20110,14,4,2020,2020-4-14,109892.42036851651,161551.33288248535,Animal,Muskrat,Muskusrat,Catch,5,,BRAKEL (BE)
20111,14,4,2020,2020-4-14,90875.03790140295,170944.87118715607,Animal,Muskrat,Muskusrat,Catch,2,,WORTEGEM-PETEGEM (BE)
20151,16,4,2020,2020-4-16,93262.22725713332,157841.43787147198,Animal,Muskrat,Muskusrat,Catch,0,,
20152,16,4,2020,2020-4-16,108029.50695982316,160471.84819292184,Animal,Muskrat,Muskusrat,Catch,2,,BRAKEL (BE)
20165,17,4,2020,2020-4-17,112914.8009845794,161645.41677010152,Animal,Muskrat,Muskusrat,Catch,1,,GERAARDSBERGEN (BE)
20171,17,4,2020,2020-4-17,112198.0631441852,161889.22371813748,Animal,Muskrat,Muskusrat,Catch,3,,GERAARDSBERGEN (BE)
20230,21,4,2020,2020-4-21,112829.61866822424,161476.3548465995,Animal,Muskrat,Muskusrat,Catch,4,,GERAARDSBERGEN (BE)
20226,21,4,2020,2020-4-21,101167.06273098418,211694.83598126099,Animal,Muskrat,Muskusrat,Catch,2,,ASSENEDE (BE)
20264,23,4,2020,2020-4-23,93776.55495376364,157917.56504100095,Animal,Muskrat,Muskusrat,Catch,0,,
20265,23,4,2020,2020-4-23,93764.9031296591,157912.7840700997,Animal,Muskrat,Muskusrat,Catch,0,,
20448,30,4,2020,2020-4-30,98355.96506943557,160775.08148620557,Animal,Muskrat,Muskusrat,Catch,3,,RONSE (BE)
20487,5,5,2020,2020-5-5,113975.2404617058,162029.3721468132,Animal,Muskrat,Muskusrat,Catch,2,,GERAARDSBERGEN (BE)
20486,5,5,2020,2020-5-5,114083.35418681282,162035.86135406047,Animal,Muskrat,Muskusrat,Catch,1,,GERAARDSBERGEN (BE)
20659,12,5,2020,2020-5-12,82171.18687082364,217572.49550128728,Animal,Muskrat,Muskusrat,Catch,0,,
21020,26,5,2020,2020-5-26,81932.11375274109,217847.4734700853,Animal,Muskrat,Muskusrat,Catch,1,,MALDEGEM (BE)
21010,26,5,2020,2020-5-26,107437.89659099074,170494.74473388307,Animal,Muskrat,Muskusrat,Catch,1,,ZOTTEGEM (BE)
21012,26,5,2020,2020-5-26,107433.24428330586,170504.68330125604,Animal,Muskrat,Muskusrat,Catch,1,,ZOTTEGEM (BE)
21209,11,6,2020,2020-6-11,93266.63165720525,157836.72912687156,Animal,Muskrat,Muskusrat,Catch,4,,
21214,11,6,2020,2020-6-11,93299.29744688612,157867.04592014384,Animal,Muskrat,Muskusrat,Catch,1,,
21215,11,6,2020,2020-6-11,93256.98340304694,157828.59029915743,Animal,Muskrat,Muskusrat,Catch,3,,
21804,23,7,2020,2020-7-23,107457.81274922931,170425.11079801992,Animal,Muskrat,Muskusrat,Catch,1,,BRAKEL (BE)
